track_id,app_name,developer,bundle_id,primary_genre,country,seller_name,release_date,snapshot_date,average_rating,rating_count,average_rating_current_version,rating_count_current_version,version,current_release_date,minimum_ios_version,file_size_mb,price,currency,supported_languages,supported_devices
297606951,Amazon Shopping,AMZN Mobile LLC,com.amazon.Amazon,Shopping,US,AMZN Mobile LLC,2008-12-03T08:00:00Z,2026-07-03,4.82853,8404414,4.82853,8404414,27.11.2,2026-06-12T02:40:38Z,15.0,249.81,0.0,USD,25,127
1369890634,Яндекс Маркет: онлайн-магазин,Mikromobilnost doo,ru.yandex.blue.market,Shopping,US,Mikromobilnost doo,2018-10-18T04:54:07Z,2026-07-03,4.75477,11842,4.75477,11842,2026.24.2,2026-07-02T13:55:26Z,15.0,225.56,0.0,USD,3,127
597880187,WILDBERRIES,Wildberries OOO,RU.WILDBERRIES.MOBILEAPP,Shopping,US,Wildberries OOO,2013-02-06T00:24:17Z,2026-07-02,4.90761,83034,4.90761,83034,7.7.0001,2026-07-03T07:11:37Z,15.0,662.44,0.0,USD,8,128
407804998,"OZON: товары, одежда и обувь",OZON.ru,ru.ozon.OzonStore,Shopping,US,"INTERNET SOLUTIONS, LLC",2010-12-16T22:34:04Z,2026-07-02,4.80748,49162,4.80748,49162,19.24.0,2026-06-29T20:26:12Z,15.0,404.79,0.0,USD,8,127
777645417,Lamoda интернет магазин одежды,Lamoda,com.lamoda.ios,Shopping,US,Kupishoes OOO,2013-12-18T08:00:00Z,2026-07-02,4.83054,8185,4.83054,8185,5.34.0,2026-07-03T09:32:54Z,16.0,476.66,0.0,USD,1,128
436672029,AliExpress - Shopping App,Alibaba,com.alibaba.iAliexpress,Shopping,US,Alibaba.com Singapore E-Commerce Private Limited,2011-05-27T02:51:53Z,2026-07-02,4.68959,634108,4.68959,634108,8.166.0,2026-07-01T13:25:25Z,13.0,89.09,0.0,USD,18,127
297606951,Amazon Shopping,AMZN Mobile LLC,com.amazon.Amazon,Shopping,US,AMZN Mobile LLC,2008-12-03T08:00:00Z,2026-07-02,4.82853,8404414,4.82853,8404414,27.11.2,2026-06-12T02:40:38Z,15.0,249.81,0.0,USD,25,127
1369890634,Яндекс Маркет: онлайн-магазин,Mikromobilnost doo,ru.yandex.blue.market,Shopping,US,Mikromobilnost doo,2018-10-18T04:54:07Z,2026-07-02,4.75477,11842,4.75477,11842,2026.24.2,2026-07-02T13:55:26Z,15.0,225.56,0.0,USD,3,127
597880187,WILDBERRIES,Wildberries OOO,RU.WILDBERRIES.MOBILEAPP,Shopping,US,Wildberries OOO,2013-02-06T00:24:17Z,2026-07-01,4.90761,83034,4.90761,83034,7.7.0001,2026-07-03T07:11:37Z,15.0,662.44,0.0,USD,8,128
407804998,"OZON: товары, одежда и обувь",OZON.ru,ru.ozon.OzonStore,Shopping,US,"INTERNET SOLUTIONS, LLC",2010-12-16T22:34:04Z,2026-07-01,4.80748,49162,4.80748,49162,19.24.0,2026-06-29T20:26:12Z,15.0,404.79,0.0,USD,8,127
777645417,Lamoda интернет магазин одежды,Lamoda,com.lamoda.ios,Shopping,US,Kupishoes OOO,2013-12-18T08:00:00Z,2026-07-01,4.83054,8185,4.83054,8185,5.34.0,2026-07-03T09:32:54Z,16.0,476.66,0.0,USD,1,128
436672029,AliExpress - Shopping App,Alibaba,com.alibaba.iAliexpress,Shopping,US,Alibaba.com Singapore E-Commerce Private Limited,2011-05-27T02:51:53Z,2026-07-01,4.68959,634108,4.68959,634108,8.166.0,2026-07-01T13:25:25Z,13.0,89.09,0.0,USD,18,127
297606951,Amazon Shopping,AMZN Mobile LLC,com.amazon.Amazon,Shopping,US,AMZN Mobile LLC,2008-12-03T08:00:00Z,2026-07-01,4.82853,8404414,4.82853,8404414,27.11.2,2026-06-12T02:40:38Z,15.0,249.81,0.0,USD,25,127
1369890634,Яндекс Маркет: онлайн-магазин,Mikromobilnost doo,ru.yandex.blue.market,Shopping,US,Mikromobilnost doo,2018-10-18T04:54:07Z,2026-07-01,4.75477,11842,4.75477,11842,2026.24.2,2026-07-02T13:55:26Z,15.0,225.56,0.0,USD,3,127
597880187,WILDBERRIES,Wildberries OOO,RU.WILDBERRIES.MOBILEAPP,Shopping,US,Wildberries OOO,2013-02-06T00:24:17Z,2026-06-30,4.90761,83034,4.90761,83034,7.7.0001,2026-07-03T07:11:37Z,15.0,662.44,0.0,USD,8,128
407804998,"OZON: товары, одежда и обувь",OZON.ru,ru.ozon.OzonStore,Shopping,US,"INTERNET SOLUTIONS, LLC",2010-12-16T22:34:04Z,2026-06-30,4.80748,49162,4.80748,49162,19.24.0,2026-06-29T20:26:12Z,15.0,404.79,0.0,USD,8,127
777645417,Lamoda интернет магазин одежды,Lamoda,com.lamoda.ios,Shopping,US,Kupishoes OOO,2013-12-18T08:00:00Z,2026-06-30,4.83054,8185,4.83054,8185,5.34.0,2026-07-03T09:32:54Z,16.0,476.66,0.0,USD,1,128
436672029,AliExpress - Shopping App,Alibaba,com.alibaba.iAliexpress,Shopping,US,Alibaba.com Singapore E-Commerce Private Limited,2011-05-27T02:51:53Z,2026-06-30,4.68959,634108,4.68959,634108,8.166.0,2026-07-01T13:25:25Z,13.0,89.09,0.0,USD,18,127
297606951,Amazon Shopping,AMZN Mobile LLC,com.amazon.Amazon,Shopping,US,AMZN Mobile LLC,2008-12-03T08:00:00Z,2026-06-30,4.82853,8404414,4.82853,8404414,27.11.2,2026-06-12T02:40:38Z,15.0,249.81,0.0,USD,25,127
1369890634,Яндекс Маркет: онлайн-магазин,Mikromobilnost doo,ru.yandex.blue.market,Shopping,US,Mikromobilnost doo,2018-10-18T04:54:07Z,2026-06-30,4.7549,11848,4.7549,11848,2026.24.2,2026-07-02T13:55:26Z,15.0,225.56,0.0,USD,3,127
597880187,WILDBERRIES,Wildberries OOO,RU.WILDBERRIES.MOBILEAPP,Shopping,US,Wildberries OOO,2013-02-06T00:24:17Z,2026-06-29,4.90761,83034,4.90761,83034,7.7.0001,2026-07-03T07:11:37Z,15.0,662.44,0.0,USD,8,128
407804998,"OZON: товары, одежда и обувь",OZON.ru,ru.ozon.OzonStore,Shopping,US,"INTERNET SOLUTIONS, LLC",2010-12-16T22:34:04Z,2026-06-29,4.80748,49162,4.80748,49162,19.24.0,2026-06-29T20:26:12Z,15.0,404.79,0.0,USD,8,127
777645417,Lamoda интернет магазин одежды,Lamoda,com.lamoda.ios,Shopping,US,Kupishoes OOO,2013-12-18T08:00:00Z,2026-06-29,4.83054,8185,4.83054,8185,5.34.0,2026-07-03T09:32:54Z,16.0,476.66,0.0,USD,1,128
436672029,AliExpress - Shopping App,Alibaba,com.alibaba.iAliexpress,Shopping,US,Alibaba.com Singapore E-Commerce Private Limited,2011-05-27T02:51:53Z,2026-06-29,4.68959,634108,4.68959,634108,8.166.0,2026-07-01T13:25:25Z,13.0,89.09,0.0,USD,18,127
297606951,Amazon Shopping,AMZN Mobile LLC,com.amazon.Amazon,Shopping,US,AMZN Mobile LLC,2008-12-03T08:00:00Z,2026-06-29,4.82853,8404414,4.82853,8404414,27.11.2,2026-06-12T02:40:38Z,15.0,249.81,0.0,USD,25,127
1369890634,Яндекс Маркет: онлайн-магазин,Mikromobilnost doo,ru.yandex.blue.market,Shopping,US,Mikromobilnost doo,2018-10-18T04:54:07Z,2026-06-29,4.7549,11848,4.7549,11848,2026.24.2,2026-07-02T13:55:26Z,15.0,225.56,0.0,USD,3,127
597880187,WILDBERRIES,Wildberries OOO,RU.WILDBERRIES.MOBILEAPP,Shopping,US,Wildberries OOO,2013-02-06T00:24:17Z,2026-06-28,4.90761,83034,4.90761,83034,7.7.0001,2026-07-03T07:11:37Z,15.0,662.44,0.0,USD,8,128
407804998,"OZON: товары, одежда и обувь",OZON.ru,ru.ozon.OzonStore,Shopping,US,"INTERNET SOLUTIONS, LLC",2010-12-16T22:34:04Z,2026-06-28,4.80748,49162,4.80748,49162,19.24.0,2026-06-29T20:26:12Z,15.0,404.79,0.0,USD,8,127
777645417,Lamoda интернет магазин одежды,Lamoda,com.lamoda.ios,Shopping,US,Kupishoes OOO,2013-12-18T08:00:00Z,2026-06-28,4.83054,8185,4.83054,8185,5.34.0,2026-07-03T09:32:54Z,16.0,476.66,0.0,USD,1,128
436672029,AliExpress - Shopping App,Alibaba,com.alibaba.iAliexpress,Shopping,US,Alibaba.com Singapore E-Commerce Private Limited,2011-05-27T02:51:53Z,2026-06-28,4.68959,634108,4.68959,634108,8.166.0,2026-07-01T13:25:25Z,13.0,89.09,0.0,USD,18,127
297606951,Amazon Shopping,AMZN Mobile LLC,com.amazon.Amazon,Shopping,US,AMZN Mobile LLC,2008-12-03T08:00:00Z,2026-06-28,4.82853,8404414,4.82853,8404414,27.11.2,2026-06-12T02:40:38Z,15.0,249.81,0.0,USD,25,127
1369890634,Яндекс Маркет: онлайн-магазин,Mikromobilnost doo,ru.yandex.blue.market,Shopping,US,Mikromobilnost doo,2018-10-18T04:54:07Z,2026-06-28,4.7549,11848,4.7549,11848,2026.24.2,2026-07-02T13:55:26Z,15.0,225.56,0.0,USD,3,127
